,name,review,date_old,rating,company,country,date,topic,content
0,Vladimiro Mascaro,3.0,"Friday, October 11, 2024 at 06:25:37 p.m.",1,amazon,United Kingdom,2024-10-01 18:25:37,4 months of total incopetence,since july until this month of all my orders 8 orders they delivered on time only once the only thing they have been good at and precise on is to take the direct debit i bought a pair of headphones on tuesday 0810 for next day and they claim it will arrive on saturday 1210 4 days late and thats a maybe nobody cares specially the customer service they give halfassed apologies and think they have done their jobs the only reason i gave one star is because i cannot leave without any stars
1,Lucy Loo,9.0,"Friday, October 11, 2024 at 09:57:32 a.m.",1,amazon,United Kingdom,2024-10-01 09:57:32,driver stealing ,as a family we order from amazon almost daily sadly weve had a change in our regular delivery guy and one of the new ones is so clearly stealing packages they log it as posted through our door and nothing is there theyve been reported to amazon as potential theft and hopefully it will be dealt with accordingly unacceptable and its now happened several times 
2,Da,21.0,"Thursday, October 10, 2024 at 11:36:09 a.m.",5,amazon,United Kingdom,2024-10-01 11:36:09,where is the negativity coming from,probably the only store that 1 delivers ontime 2 prices fairly and matches its competitors and 3 offer great valueformoney through prime it seems only upset customers leave reviews a pity because across their us dutch uk french and german websites ive never had an issue
3,Vicki Study,1.0,"Friday, October 11, 2024 at 03:36:33 p.m.",1,amazon,United Kingdom,2024-10-01 15:36:33,absolutely appalling customer service ,the customer service has been absolutely appalling ive had to make six calls about the same issue and despite acknowledging they were at fault they still withdrew a significant amount of money from my account now im being told ill have to wait 57 days for a refund with no offer of compensation either
4,Jeffrey Bruce,5.0,"Thursday, October 10, 2024 at 05:09:02 p.m.",1,amazon,United Kingdom,2024-10-01 17:09:02,amazon are quick enough to take payment,amazon are quick enough to take payment for orders but fail to deliver but claim they have delivered which is total false claim they have to be the worst for delivering there customer service is no better they dont give a dam this company is going down hill fast use to be good lately so poor if you value your money dont spend it with amazon 
5,Peter King,8.0,"Thursday, October 10, 2024 at 01:28:58 p.m.",1,amazon,United Kingdom,2024-10-01 13:28:58,dodgy delivery information,i have been expecting a delivery from amazon since the 27th sept i was informed it could be late and should be delivered by today 10th oct however checking on their courier ups site they have not received the item its also impossible to find out whats happening on their website i have purchased a lot from amazon but im reluctant to continue doing so 
6,Steve Roos,3.0,"Friday, October 11, 2024 at 09:52:26 p.m.",2,amazon,United States,2024-10-01 21:52:26,amazon uses usps to deliver larger,amazon uses usps to deliver larger packages that usps holds for pickup  who wants to wait in line at the post office  ups  fedex work great  ive told amazon this is a problem but they dont seem to care and there is no place to caution this on the order  once it happens there is no way to do a return without phoning amazon customer service and playing the phone mazewait  come on amazon you know the post office is undependable  get your act together
7,STUART,20.0,"Saturday, October 12, 2024 at 10:30:48 a.m.",1,amazon,United Kingdom,2024-10-01 10:30:48,this company just gets worse  worse,this company just gets worse  worse terrible customer service  get this my account was hacked back in june  purchases were made on my card from amazon  they refused to refund me the money despite the fact i had been on them since the whole hacking incident went down why am i making this post now well thats because that today despite having twostep verification they have locked my account with zero warning  customer service were once again no help just gave me the same copy paste answer from their playbook well send you an email within 24 hours thats just terrific in the meantime ill still be paying my prime membership for an account i can no longer access
8,Jdub,7.0,"Thursday, October 10, 2024 at 05:26:49 p.m.",1,amazon,United States,2024-10-01 17:26:49,got severely ill of a supplement i,got severely ill of a supplement i bought from them and wouldnt refund the product but tell me contact manufacturer i advise you all just started going back out to the store amazon a complete ripoff since j bezo left hiring all type of people from different countries no wonder none of our stuff is safe here just steady outsourcing jobs to other countries last time ill shop here and anyone i know
9,Angel Perez,6.0,"Friday, October 11, 2024 at 12:08:17 p.m.",5,amazon,United States,2024-10-01 12:08:17,amazon is simply excellent,amazon is simply excellent every time ive made a purchase ive received impeccable service they are very serious about what they offer and their customer service is fast and effective ive had a few minor issues and they always resolve them without complications plus the punctuality of their deliveries is impressive orders almost always arrive earlier than expected and in perfect condition it gives me great confidence knowing that if something goes wrong amazon responds in short its a platform that makes me feel secure when buying and its always my first choice
